country_code,gdp_data_level,year,gdppc_growth,source
ABW,rural,1980,,
ABW,urban,1980,,
ABW,national,1980,,
ABW,rural,1981,,
ABW,urban,1981,,
ABW,national,1981,,
ABW,rural,1982,,
ABW,urban,1982,,
ABW,national,1982,,
ABW,rural,1983,,
ABW,urban,1983,,
ABW,national,1983,,
ABW,rural,1984,,
ABW,urban,1984,,
ABW,national,1984,,
ABW,rural,1985,,
ABW,urban,1985,,
ABW,national,1985,,
ABW,rural,1986,,
ABW,urban,1986,,
ABW,national,1986,,
ABW,rural,1987,.10992037,WEO202504
ABW,urban,1987,.10992037,WEO202504
ABW,national,1987,.10992037,WEO202504
ABW,rural,1988,.14801459,WEO202504
ABW,urban,1988,.14801459,WEO202504
ABW,national,1988,.14801459,WEO202504
ABW,rural,1989,.10260012,WEO202504
ABW,urban,1989,.10260012,WEO202504
ABW,national,1989,.10260012,WEO202504
ABW,rural,1990,.028763633,WEO202504
ABW,urban,1990,.028763633,WEO202504
ABW,national,1990,.028763633,WEO202504
ABW,rural,1991,.069030978,WEO202504
ABW,urban,1991,.069030978,WEO202504
ABW,national,1991,.069030978,WEO202504
ABW,rural,1992,.049525127,WEO202504
ABW,urban,1992,.049525127,WEO202504
ABW,national,1992,.049525127,WEO202504
ABW,rural,1993,.067566425,WEO202504
ABW,urban,1993,.067566425,WEO202504
ABW,national,1993,.067566425,WEO202504
ABW,rural,1994,.063238904,WEO202504
ABW,urban,1994,.063238904,WEO202504
ABW,national,1994,.063238904,WEO202504
ABW,rural,1995,-.00040874857,WEO202504
ABW,urban,1995,-.00040874857,WEO202504
ABW,national,1995,-.00040874857,WEO202504
ABW,rural,1996,-.014083211,WEO202504
ABW,urban,1996,-.014083211,WEO202504
ABW,national,1996,-.014083211,WEO202504
ABW,rural,1997,.060162865,WEO202504
ABW,urban,1997,.060162865,WEO202504
ABW,national,1997,.060162865,WEO202504
ABW,rural,1998,.014274358,WEO202504
ABW,urban,1998,.014274358,WEO202504
ABW,national,1998,.014274358,WEO202504
ABW,rural,1999,.003900849,WEO202504
ABW,urban,1999,.003900849,WEO202504
ABW,national,1999,.003900849,WEO202504
ABW,rural,2000,.072665952,WEO202504
ABW,urban,2000,.072665952,WEO202504
ABW,national,2000,.072665952,WEO202504
ABW,rural,2001,.041053057,WEO202504
ABW,urban,2001,.041053057,WEO202504
ABW,national,2001,.041053057,WEO202504
ABW,rural,2002,-.023189487,WEO202504
ABW,urban,2002,-.023189487,WEO202504
