"year","code","eca","lac","ssa","lmc","umc","hic","inc","gdp2021","gdp2017","rps","leb","u5m"
1981,"ABW",0,1,0,0,0,1,1,NA,NA,49.544,71.344,25.796
1981,"AFG",0,0,0,0,0,0,0,NA,NA,83.438,39.406,257.098
1981,"AGO",0,0,1,1,0,0,0,8218.27248742868,6355.60756547622,74.563,42.556,241.034
1981,"ALB",1,0,0,1,0,0,0,5351.04644935343,4847.8026430406,65.976,70.145,58.19
1981,"AND",1,0,0,0,0,1,1,52953.3732571112,44450.3129880174,7.2,77.391,13.086
1981,"ARE",0,0,0,0,0,1,1,212308.215734843,209753.869820537,19.317,68.622,32.265
1981,"ARG",0,1,0,0,1,0,0,20693.3033433552,17078.3858563583,16.687,68.858,39.655
1981,"ARM",1,0,0,1,0,0,0,NA,NA,33.741,65.707,70.54
1981,"ASM",0,0,0,0,0,1,1,NA,NA,24.957,69.731,20.495
1981,"ATG",0,1,0,0,1,0,0,12124.1465200311,9548.93937897824,65.302,73.32,15.147
1981,"AUS",0,0,0,0,0,1,1,30186.6297295611,26146.1973654539,14.3,74.783,12.637
1981,"AUT",1,0,0,0,0,1,1,37303.8428727954,31788.6761485437,34.636,72.99,14.98
1981,"AZE",1,0,0,1,0,0,0,NA,NA,47.103,61.908,110.79
1981,"BDI",0,0,1,0,0,0,0,1166.13978163435,1007.66516730034,95.497,46.412,211.38
1981,"BEL",1,0,0,0,0,1,1,35492.1295778637,29867.2171487118,4.465,73.652,13.741
1981,"BEN",0,0,1,0,0,0,0,2282.69727193914,2165.71333856235,71.99,48.122,208.054
1981,"BFA",0,0,1,0,0,0,0,1000.37825429827,915.283165705096,90.572,46.866,235.973
1981,"BGD",0,0,0,0,0,0,0,1864.1241135086,1515.52277262334,84.199,52.638,199.597
1981,"BGR",1,0,0,1,0,0,0,10716.6791454466,8892.69470439015,37.397,71.478,22.857
1981,"BHR",0,0,0,0,0,1,1,51912.8701966662,48370.4526410975,13.683,71.037,30.977
1981,"BHS",0,1,0,0,0,1,1,29490.6891350088,30590.2785233061,26.157,69.368,32.015
1981,"BIH",1,0,0,0,1,0,0,NA,NA,63.718,70.055,31.85
1981,"BLR",1,0,0,0,1,0,0,NA,NA,42.416,70.754,19.775
1981,"BLZ",0,1,0,1,0,0,0,6959.67412303624,5484.8716924441,50.817,67.095,62.228
1981,"BMU",0,0,0,0,0,1,1,77235.6075932612,68621.0505506204,0,72.892,17.205
1981,"BOL",0,1,0,1,0,0,0,6424.07510910376,5669.56885400393,53.541,52.259,201.04
1981,"BRA",0,1,0,0,1,0,0,12620.9698818069,10366.9800340255,33.63,62.267,91.491
1981,"BRB",0,1,0,0,1,0,0,15342.7811646808,14653.8836842141,60.172,72.63,25.817
1981,"BRN",0,0,0,0,0,1,1,210011.305403344,163977.76679829,34.901,69.344,20.113
1981,"BTN",0,0,0,0,0,0,0,1952.16248111193,1690.81958104689,89.354,48.975,187.475
1981,"BWA",0,0,1,1,0,0,0,5419.08368729611,4903.113410224,82.448,63.027,68.666
1981,"CAF",0,0,1,0,0,0,0,1486.32752478428,1190.02861392311,65.798,50.028,186.181
1981,"CAN",0,0,0,0,0,1,1,34781.2880776753,30107.2594787269,24.288,75.482,11.684
1981,"CHE",1,0,0,0,0,1,1,55982.1873936431,48702.6501087445,25.534,75.818,9.731
1981,"CHI",1,0,0,0,0,1,1,NA,NA,68.091,73.781650223531,22.8116019393033
1981,"CHL",0,1,0,1,0,0,0,9745.37827330669,8489.02308059527,18.222,69.822,31.889
1981,"CHN",0,0,0,0,0,0,0,812.665998381704,728.502447744086,79.882,64.778,61.63
1981,"CIV",0,0,1,1,0,0,0,6901.1721805995,5825.60567187557,62.956,51.791,165.814
1981,"CMR",0,0,1,1,0,0,0,3980.2050160493,3125.3069894271,67.239,51.227,171.85
1981,"COD",0,0,1,0,0,0,0,2469.51354905841,1977.00491791753,72.673,45.726,209.199
1981,"COG",0,0,1,1,0,0,0,6959.03487830071,4195.22085420111,51.219,57.065,103.778
1981,"COL",0,1,0,1,0,0,0,9076.04698638604,7556.80280469942,35.592,67.189,55.204
1981,"COM",0,0,1,0,0,0,0,2405.13907820993,2487.22075385921,76.351,51.211,169.841
1981,"CPV",0,0,1,1,0,0,0,1260.76014016261,1215.01233194089,75.005,61.299,79.867
1981,"CRI",0,1,0,1,0,0,0,11306.1160242015,10122.9812042076,56.55,73.441,24.4
1981,"CUB",0,1,0,1,0,0,0,NA,NA,31.147,72.996,22.146
1981,"CUW",0,1,0,0,0,1,1,NA,NA,17.922,71.175,22.839
1981,"CYM",0,1,0,0,0,1,1,NA,NA,0,69.951,18.935
1981,"CYP",1,0,0,0,1,0,0,18432.2563984147,16420.2309609346,39.191,73.053,19.584
1981,"CZE",1,0,0,0,1,0,0,NA,NA,24.519,70.772,17.155
1981,"DEU",1,0,0,0,0,1,1,35899.1583825143,31126.4418504068,27.011,73.331,14.054
1981,"DJI",0,0,0,1,0,0,0,NA,NA,26.972,52.355,150.08
1981,"DMA",0,1,0,1,0,0,0,6804.45093935556,5295.41649365319,52.207,71.46,23.874
1981,"DNK",1,0,0,0,0,1,1,37562.6359052537,31745.9523739425,16.085,74.251,9.52
1981,"DOM",0,1,0,1,0,0,0,6768.12223712284,5846.47317036493,47.599,63.776,91.499
1981,"DZA",0,0,0,0,1,0,0,11971.1760474971,10470.3990611025,55.58,57.422,132.205
1981,"ECU",0,1,0,1,0,0,0,9159.00365943638,7617.98092587772,52.112,63.809,86.18
1981,"EGY",0,0,0,1,0,0,0,6213.4254464137,4930.86974658828,56.126,56.454,157.396
1981,"ERI",0,0,1,0,0,0,0,NA,NA,85.428,44.974,191.045
1981,"ESP",1,0,0,0,0,1,1,25515.1856010121,22454.0419335782,26.721,75.706,14.211
1981,"EST",1,0,0,0,1,0,0,NA,NA,30.076,69.336,22.339
1981,"ETH",0,0,1,0,0,0,0,978.218005149351,882.245430773574,89.39,43.084,238.171
1981,"FIN",1,0,0,0,0,1,1,29781.0690222967,25036.4328458057,27.472,73.965,7.88
1981,"FJI",0,0,0,1,0,0,0,8991.88323221145,8805.77550783576,62.081,62.255,42.485
1981,"FRA",1,0,0,0,0,1,1,32518.2130686321,27149.4166725038,26.648,74.397,12.204
1981,"FRO",1,0,0,0,0,1,1,NA,NA,68.899,75.831,13.514
1981,"FSM",0,0,0,1,0,0,0,3144.54500601757,2846.24714818997,73.583,62.668,59.143
1981,"GAB",0,0,1,0,1,0,0,26869.3023703239,20330.3867421651,43,58.332,115.625
1981,"GBR",1,0,0,0,0,1,1,26414.9791885696,22757.3011639025,21.412,73.916,13.062
1981,"GEO",1,0,0,1,0,0,0,12302.148469701,10393.9090726089,47.164,68.741,56.956
1981,"GHA",0,0,1,0,0,0,0,2922.77104043288,2521.59945638637,68.612,51.313,165.953
1981,"GIB",1,0,0,0,1,0,0,NA,NA,0,73.999,27.275
1981,"GIN",0,0,1,0,0,0,0,1997.38875080054,1610.42626187606,75.497,43.33,276.708
1981,"GMB",0,0,1,0,0,0,0,2758.17137144615,2220.04376639953,70.744,44.489,223.398
1981,"GNB",0,0,1,0,0,0,0,1857.13307497171,1670.67403327761,81.117,43.926,255.962
1981,"GNQ",0,0,1,0,0,0,0,1327.23783255097,1099.63347782923,72.035,49.107,207.453
1981,"GRC",1,0,0,0,1,0,0,26302.6141853429,23545.9453544395,30.254,74.909,18.449
